IAN_ID;Entrevista;FrutVegLeg;ProdLacteos;CerDerivTuberc;CarnPescOvos;OleoGord;DocesBolosBolach;BebNaoAlc;BebAlc;AdocArtif;SnacksSalgPizz;SubstCarn;SubstLeit;Sal;Outros
1-01-01-0-02-094;1;341,9;559,8;33,9;98,3;5,7;0;102,8;0;0;0;0;0;1,4;0,6
1-01-01-0-02-094;2;307,7;712,9;60,6;15;4,6;14;454,1;0;0;0;0;0;1;0,1
1-01-01-0-02-107;1;358,5;171,4;637,1;46,2;5,9;14;100;1,1;0;0;0;0;0,9;0,1
1-01-01-0-02-107;2;260,8;726,2;73,5;12,2;1,9;10;180;0;0;0;0;0;0;0
1-01-01-0-03-044;1;371,6;1024,1;478,8;152,1;16,8;101,2;578,1;0;0;0;0;0;3,1;1,5
1-01-01-0-03-044;2;262,3;1069,2;266,7;63,5;11,8;128;721,2;0,7;0;9;0;0;2;0,4
1-01-01-0-03-047;1;460,8;517,1;206,9;100,4;19;33;358,7;0;0;0;0;0;3;0
1-01-01-0-03-047;2;326;962,7;474,1;99,2;6,9;151,2;0;15,6;0;0;0;0;3,2;0
1-01-01-0-03-062;1;385,5;765,2;233,2;73,4;20,8;57;440,6;9,2;0;0;0;0;3,1;0,1
1-01-01-0-03-062;2;220,6;447,6;181,2;277,3;3,3;76;1289,1;0;0;0;0;0;2,8;2,3
1-01-01-0-04-114;1;29,8;125;392,3;135,1;11,8;0;362,6;0,4;0;0;0;0;1,3;0,2
1-01-01-0-04-114;2;180,8;352,6;123,6;175,3;3,3;0;308,5;0;0;0;0;0;1,7;0,1
1-01-01-0-05-054;1;343;254,5;299,7;134,7;22,7;16,2;2634,8;19,4;0;0;0;0;4;10,2
1-01-01-0-05-054;2;319,9;29,4;246,4;60,4;14,8;147,5;1470,3;0;0;198,5;0;0;2;0
1-01-01-0-05-081;1;363,4;208,9;435,9;190,3;32,6;127,6;2231,1;0;1;0;0;0;2,1;7,9
1-01-01-0-05-081;2;291,1;69,7;524,6;139,3;31,5;131,9;2343,2;3;2;30;0;0;2,7;1,6
1-01-01-0-05-088;1;156,8;0;40,8;0;6;148,6;80;0;0;295;0;0;0,9;0
1-01-01-0-05-088;2;308,5;150,2;119,7;204,3;3,9;69,8;1078,2;0;0;274;0;0;0,3;0,3
1-01-01-0-05-125;1;257,4;762,3;346,5;199,6;19,7;180,2;891;12,4;0;0;0;0;3;0,6
1-01-01-0-05-125;2;304,5;208,1;254,4;156,7;53,2;282,3;972,3;0;0;148,9;0;0;2,1;7
1-01-01-0-06-008;1;168,3;0;291,2;116,9;15,3;8;182;49,4;0;0;0;0;2,5;2,1
1-01-01-0-06-008;2;205,8;0;233,9;149,6;11,3;22,4;268;19;0;0;0;0;4,3;3,2
1-01-01-0-06-050;1;309,5;125;297,2;168,8;24,2;150;459,9;0;0;0;0;0;1,9;0
1-01-01-0-06-050;2;471,3;125;241,5;114;26;135;1366,5;0;0;0;0;0;1,8;0
1-01-01-0-06-093;1;370,2;225,3;314;74,8;9,1;92;940,8;7,8;0;0;0;0;2,1;0
1-01-01-0-06-093;2;285,6;225,3;284,2;234,8;13,3;31,3;166,7;439,6;0;0;0;0;0,9;0,3
1-01-01-0-06-109;1;155,2;188,2;262,3;293,9;4,6;82,2;331,6;0;0;0;0;0;0,8;0,1
1-01-01-0-06-109;2;57;269;358,9;255,6;8,8;7,6;285;0;0;0;0;0;1,2;0
1-01-01-0-06-124;1;399,8;493,2;87,1;80,1;11;29,8;1343,7;1,7;0;0;0;0;1,6;0,2
1-01-01-0-06-124;2;134,2;498,7;240,3;93,8;5,5;14,9;1010,9;0;0;0;0;0;0,2;0,1
1-01-01-0-06-136;1;401,2;517;198,7;41,7;16,7;24,9;508,1;0,1;0;0;0;0;2,5;0
1-01-01-0-06-136;2;225;322,6;206,9;191,5;12,4;1,8;506,8;0;0;0;0;0;2,2;1
