IAN_ID;NUT;PSU;Ponderador1;Ponderador2;Sexo;Idade;GrupoEtario;EscolClass_Prop;EscolClass_Pais;EstCiv;RespQuest;Trab;Rend;AgFam
1-01-01-0-01-113;1;1,01;183,6528736;;0;0;1;7;9;7;7;7;77;99
1-01-01-0-01-126;1;1,01;183,6528736;;0;0;1;7;2;7;7;7;77;3
1-01-01-0-02-094;1;1,01;183,6528736;1217,120029;0;1;1;7;3;7;7;7;77;4
1-01-01-0-02-107;1;1,01;183,6528736;1217,120029;0;1;1;7;2;7;7;7;77;99
1-01-01-0-03-044;1;1,01;1376,536483;1627,537406;0;7;1;7;2;7;7;7;77;3
1-01-01-0-03-047;1;1,01;1376,536483;1627,537406;0;3;1;7;2;7;7;7;77;3
1-01-01-0-03-062;1;1,01;1376,536483;1627,537406;0;3;1;7;3;7;7;7;77;5
1-01-01-0-04-043;1;1,01;3244,680851;;0;13;2;7;1;7;9;7;77;6
1-01-01-0-04-114;1;1,01;3244,680851;4179,538476;0;16;2;7;1;7;9;7;77;4
1-01-01-0-05-049;1;1,01;2110,44944;;0;26;3;3;7;1;9;1;2;4
1-01-01-0-05-054;1;1,01;2110,44944;2912,590962;0;20;3;2;7;1;9;2;2;3
1-01-01-0-05-081;1;1,01;2110,44944;2912,590962;0;23;3;3;7;1;9;1;6;3
1-01-01-0-05-088;1;1,01;2110,44944;2912,590962;0;22;3;2;7;1;9;1;2;3
1-01-01-0-05-125;1;1,01;2110,44944;2912,590962;0;22;3;3;7;1;9;2;3;2
1-01-01-0-06-008;1;1,01;2463,781925;2854,84675;0;41;3;2;7;4;9;1;3;3
1-01-01-0-06-050;1;1,01;2463,781925;2854,84675;0;58;3;1;7;4;9;3;3;2
1-01-01-0-06-086;1;1,01;2463,781925;;0;54;3;1;7;2;9;3;1;2
1-01-01-0-06-093;1;1,01;2463,781925;2854,84675;0;63;3;3;7;4;9;3;7;3
1-01-01-0-06-108;1;1,01;2463,781925;;0;38;3;2;7;4;9;1;2;4
1-01-01-0-06-109;1;1,01;2463,781925;2854,84675;0;40;3;2;7;4;9;1;4;3
1-01-01-0-06-124;1;1,01;2463,781925;2854,84675;0;42;3;2;7;4;9;2;1;3
1-01-01-0-06-136;1;1,01;2463,781925;2854,84675;0;54;3;3;7;4;9;1;5;4
1-01-01-0-07-065;1;1,01;5329,067015;8175,937771;0;65;4;1;7;4;9;3;3;2
1-01-01-0-07-095;1;1,01;5329,067015;8175,937771;0;71;4;1;7;4;9;3;2;2
1-01-01-0-08-076;1;1,01;5329,067015;;0;81;4;1;7;3;9;3;88;5
1-01-01-0-11-053;1;1,01;220,8742711;;1;0;1;7;2;7;7;7;77;3
1-01-01-0-12-046;1;1,01;220,8742711;;1;1;1;7;3;7;7;7;77;3
1-01-01-0-12-121;1;1,01;220,8742711;275,2135792;1;1;1;7;2;7;7;7;77;2
1-01-01-0-13-059;1;1,01;4640,957447;4640,957447;1;5;1;7;3;7;7;7;77;3
1-01-01-0-14-025;1;1,01;4892,061536;4892,061536;1;10;2;7;3;7;9;7;77;3
1-01-01-0-14-137;1;1,01;4892,061536;4892,061536;1;12;2;7;1;7;9;7;77;4
1-01-01-0-16-016;1;1,01;1825,72194;1913,425698;1;47;3;1;7;4;9;1;2;3
1-01-01-0-16-034;1;1,01;1825,72194;1913,425698;1;53;3;2;7;4;9;2;2;3
1-01-01-0-16-035;1;1,01;1825,72194;1913,425698;1;58;3;2;7;4;9;1;10;2
1-01-01-0-16-036;1;1,01;1825,72194;1913,425698;1;48;3;1;7;4;9;1;2;99
1-01-01-0-16-040;1;1,01;1825,72194;1913,425698;1;60;3;3;7;4;9;1;5;3
1-01-01-0-16-075;1;1,01;1825,72194;1913,425698;1;53;3;2;7;4;9;1;3;2
1-01-01-0-17-096;1;1,01;1917,495237;5044,900306;1;71;4;1;7;4;9;3;2;3
1-01-01-0-18-089;1;1,01;1917,495237;5044,900306;1;82;4;1;7;4;9;3;4;2
1-01-01-1-05-050;1;1,01;2110,44944;;0;23;3;2;7;4;9;1;2;3
1-01-01-1-05-075;1;1,01;2110,44944;2912,590962;0;18;3;2;7;1;9;3;88;2
1-01-01-1-05-076;1;1,01;2110,44944;;0;24;3;3;7;1;9;1;88;4
1-01-01-1-05-106;1;1,01;2110,44944;2912,590962;0;24;3;2;7;1;9;1;2;2
1-01-01-1-06-010;1;1,01;2463,781925;2854,84675;0;37;3;1;7;2;9;1;1;4
1-01-01-1-06-035;1;1,01;2463,781925;2854,84675;0;44;3;2;7;4;9;1;4;3
1-01-01-1-06-067;1;1,01;2463,781925;2854,84675;0;48;3;2;7;4;9;1;4;3
1-01-01-1-06-089;1;1,01;2463,781925;2854,84675;0;46;3;1;7;2;9;3;88;4
1-01-01-1-06-098;1;1,01;2463,781925;2854,84675;0;48;3;2;7;1;9;1;2;1
1-01-01-1-06-119;1;1,01;2463,781925;2854,84675;0;37;3;2;7;4;9;1;2;3
1-01-01-1-07-027;1;1,01;5329,067015;8175,937771;0;71;4;1;7;4;9;3;3;2
1-01-01-1-07-114;1;1,01;5329,067015;8175,937771;0;72;4;1;7;4;9;3;4;2
1-01-01-1-15-095;1;1,01;1539,036575;;1;29;3;2;7;1;9;2;2;3
1-01-01-1-15-122;1;1,01;1539,036575;1882,309273;1;27;3;2;7;1;9;1;3;2
1-01-01-1-16-001;1;1,01;1825,72194;1913,425698;1;56;3;2;7;1;9;2;1;1
1-01-01-1-16-007;1;1,01;1825,72194;1913,425698;1;55;3;1;7;1;9;2;1;1
1-01-01-1-16-014;1;1,01;1825,72194;1913,425698;1;49;3;2;7;4;9;1;88;6
1-01-01-1-16-022;1;1,01;1825,72194;1913,425698;1;61;3;1;7;4;9;3;3;2
1-01-01-1-16-085;1;1,01;1825,72194;1913,425698;1;40;3;2;7;4;9;2;3;3
1-01-01-1-16-101;1;1,01;1825,72194;1913,425698;1;54;3;3;7;2;9;1;6;2
1-01-01-1-16-112;1;1,01;1825,72194;;1;55;3;2;7;4;9;1;4;3
1-01-01-1-17-086;1;1,01;1917,495237;5044,900306;1;66;4;1;7;2;9;3;2;1
1-01-01-2-15-043;1;1,01;1539,036575;1882,309273;1;28;3;3;7;1;9;1;2;1
1-01-01-2-15-058;1;1,01;1539,036575;;1;23;3;1;7;1;9;1;2;5
1-01-01-2-16-057;1;1,01;1825,72194;1913,425698;1;57;3;1;7;4;9;3;2;3
1-01-01-3-15-012;1;1,01;1539,036575;;1;28;3;2;7;4;9;2;2;4
1-01-01-3-15-054;1;1,01;1539,036575;1882,309273;1;27;3;3;7;1;9;3;88;3
1-01-01-3-15-058;1;1,01;1539,036575;1882,309273;1;31;3;2;7;1;9;1;88;4
1-01-01-3-15-061;1;1,01;1539,036575;1882,309273;1;21;3;2;7;1;9;3;88;4
1-01-01-3-16-007;1;1,01;1825,72194;1913,425698;1;39;3;2;7;4;9;1;4;4
1-01-01-3-16-017;1;1,01;1825,72194;1913,425698;1;44;3;3;7;4;9;1;5;3
1-01-01-3-16-079;1;1,01;1825,72194;1913,425698;1;62;3;1;7;4;9;3;3;3
1-01-01-3-16-104;1;1,01;1825,72194;1913,425698;1;36;3;3;7;4;9;2;3;4
1-01-01-4-15-043;1;1,01;1539,036575;1882,309273;1;19;3;2;7;1;9;3;3;4
1-01-01-4-16-008;1;1,01;1825,72194;1913,425698;1;38;3;2;7;1;9;1;3;3
1-01-01-4-16-085;1;1,01;1825,72194;1913,425698;1;63;3;1;7;4;9;3;3;2
1-01-01-4-16-088;1;1,01;1825,72194;;1;51;3;2;7;2;9;1;88;4
1-01-01-4-16-133;1;1,01;1825,72194;1913,425698;1;54;3;2;7;4;9;1;5;3
1-01-01-5-15-006;1;1,01;1539,036575;;1;27;3;2;7;1;9;1;88;4
1-01-01-5-15-008;1;1,01;1539,036575;1882,309273;1;31;3;3;7;1;9;1;88;4
1-01-01-5-16-025;1;1,01;1825,72194;1913,425698;1;54;3;2;7;2;9;1;3;1
1-01-01-5-16-045;1;1,01;1825,72194;1913,425698;1;58;3;2;7;3;9;3;88;3
1-02-01-0-01-051;1;1,02;164,1691148;188,2299;0;0;1;7;2;7;7;7;77;4
1-02-01-0-01-104;1;1,02;164,1691148;188,2299;0;0;1;7;3;7;7;7;77;3
1-02-01-0-01-115;1;1,02;164,1691148;188,2299;0;0;1;7;3;7;7;7;77;4
1-02-01-0-02-056;1;1,02;164,1691148;;0;1;1;7;2;7;7;7;77;3
1-02-01-0-02-066;1;1,02;164,1691148;188,2299;0;1;1;7;2;7;7;7;77;3
1-02-01-0-04-029;1;1,02;1295,868282;1436,32;0;11;2;7;3;7;9;7;77;3
1-02-01-0-04-117;1;1,02;1295,868282;1436,32;0;16;2;7;1;7;9;7;77;3
1-02-01-0-05-003;1;1,02;4433,124911;5065,715;0;32;3;3;7;4;9;1;4;3
1-02-01-0-05-084;1;1,02;4433,124911;5065,715;0;22;3;2;7;1;9;3;3;4
1-02-01-0-05-092;1;1,02;4433,124911;;0;28;3;2;7;1;9;1;3;4
1-02-01-0-06-032;1;1,02;2827,779255;3215,626;0;39;3;3;7;1;9;1;3;1
1-02-01-0-06-048;1;1,02;2827,779255;;0;54;3;1;7;4;9;1;4;3
1-02-01-0-06-069;1;1,02;2827,779255;3215,626;0;53;3;1;7;1;9;2;1;2
1-02-01-0-06-082;1;1,02;2827,779255;3215,626;0;39;3;1;7;4;9;1;3;3
1-02-01-0-06-105;1;1,02;2827,779255;3215,626;0;54;3;3;7;2;9;1;5;2
1-02-01-0-06-110;1;1,02;2827,779255;3215,626;0;36;3;2;7;4;9;1;3;4
1-02-01-0-06-118;1;1,02;2827,779255;3215,626;0;40;3;3;7;4;9;1;4;4
1-02-01-0-06-132;1;1,02;2827,779255;3215,626;0;55;3;3;7;4;9;1;4;3
1-02-01-0-07-024;1;1,02;3376,077307;4177,789;0;68;4;3;7;4;9;3;8;3
1-02-01-0-07-036;1;1,02;3376,077307;4177,789;0;66;4;3;7;4;9;3;2;2
1-02-01-0-12-039;1;1,02;142,1362726;160,0087;1;1;1;7;3;7;7;7;77;3
1-02-01-0-12-041;1;1,02;142,1362726;160,0087;1;1;1;7;3;7;7;7;77;3
1-02-01-0-12-055;1;1,02;142,1362726;;1;1;1;7;2;7;7;7;77;3
1-02-01-0-13-135;1;1,02;1832,080815;1832,081;1;3;1;7;2;7;7;7;77;99
1-02-01-0-15-030;1;1,02;5694,805467;6749,502;1;24;3;3;7;1;9;3;8;3
1-02-01-0-15-038;1;1,02;5694,805467;6749,502;1;32;3;2;7;4;9;1;3;99
